127.0.0.1 - - [06/Jul/2013:22:54:52 -0700] "GET /upload_file.php HTTP/1.1" 200 12 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:55:11 -0700] "GET /v1/test/api_upload.html HTTP/1.1" 404 221 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:55:18 -0700] "GET /test/api_upload.html HTTP/1.1" 200 392 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:55:50 -0700] "GET /api/v1/test/api_upload.html HTTP/1.1" 200 392 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:55:55 -0700] "POST /api/v1/upload_file.php HTTP/1.1" 200 12 "http://pushchat.local:44447/api/v1/test/api_upload.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:56:02 -0700] "POST /api/v1/upload_file.php HTTP/1.1" 200 12 "http://pushchat.local:44447/api/v1/test/api_upload.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:56:29 -0700] "POST /api/v1/upload_file.php HTTP/1.1" 200 12 "http://pushchat.local:44447/api/v1/test/api_upload.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:56:34 -0700] "POST /api/v1/upload_file.php HTTP/1.1" 200 183 "http://pushchat.local:44447/api/v1/test/api_upload.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:57:15 -0700] "POST /api/v1/upload_file.php HTTP/1.1" 200 12 "http://pushchat.local:44447/api/v1/test/api_upload.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:57:22 -0700] "POST /api/v1/upload_file.php HTTP/1.1" 200 183 "http://pushchat.local:44447/api/v1/test/api_upload.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:22:58:06 -0700] "POST /api/v1/upload_file.php HTTP/1.1" 200 183 "http://pushchat.local:44447/api/v1/test/api_upload.html" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
192.168.1.140 - - [06/Jul/2013:23:20:34 -0700] "\x16\x03\x01" 501 205 "-" "-"
192.168.1.140 - - [06/Jul/2013:23:20:34 -0700] "\x16\x03\x01" 501 205 "-" "-"
192.168.1.140 - - [06/Jul/2013:23:20:34 -0700] "\x16\x03" 501 204 "-" "-"
127.0.0.1 - - [06/Jul/2013:23:20:57 -0700] "GET /api/v1/api.phpo HTTP/1.1" 404 213 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:23:20:59 -0700] "GET /api/v1/api.php HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:22.0) Gecko/20100101 Firefox/22.0"
127.0.0.1 - - [06/Jul/2013:23:21:57 -0700] "POST /api/v1/api.php HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:21:59 -0700] "POST /api/v1/api.php?cmd=join HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:22:55 -0700] "POST /api/v1/api.php?cmd=join HTTP/1.1" 200 820 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:23:13 -0700] "POST /api/v1/api.php?cmd=join HTTP/1.1" 200 820 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:23:35 -0700] "POST /api/v1/api.php?cmd=join HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:24:28 -0700] "POST /api/v1/api.php?cmd=join HTTP/1.1" 200 806 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:25:04 -0700] "POST /api/v1/api.php?cmd=join HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:25:11 -0700] "POST /api/v1/api.php?cmd=join HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:25:18 -0700] "POST /api/v1/api.php?cmd=join HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
127.0.0.1 - - [06/Jul/2013:23:26:24 -0700] "POST /api/v1/api.php?cmd=join&name=%22zakk%22&code=%22passpass%22 HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
::1 - - [06/Jul/2013:23:26:45 -0700] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/0.9.8y DAV/2 PHP/5.4.10 (internal dummy connection)"
::1 - - [06/Jul/2013:23:26:46 -0700] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/0.9.8y DAV/2 PHP/5.4.10 (internal dummy connection)"
::1 - - [06/Jul/2013:23:26:49 -0700] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/0.9.8y DAV/2 PHP/5.4.10 (internal dummy connection)"
::1 - - [06/Jul/2013:23:27:10 -0700] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/0.9.8y DAV/2 PHP/5.4.10 (internal dummy connection)"
::1 - - [06/Jul/2013:23:29:21 -0700] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/0.9.8y DAV/2 PHP/5.4.10 (internal dummy connection)"
127.0.0.1 - - [06/Jul/2013:23:31:37 -0700] "POST /api/v1/api.php?cmd=join&name=%22zakk%22&code=%22passpass%22 HTTP/1.1" 400 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36"
::1 - - [06/Jul/2013:23:31:54 -0700] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/0.9.8y DAV/2 PHP/5.4.10 (internal dummy connection)"
::1 - - [06/Jul/2013:23:32:24 -0700] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/0.9.8y DAV/2 PHP/5.4.10 (internal dummy connection)"
